Year,Quarter,TOTAL ASSET
2017,Q3,112875000000
2017,FY,128645000000
2018,Q1,143810000000
2018,Q2,130053000000
2018,Q3,115761000000
2018,FY,131339000000
2019,Q1,140828000000
2019,Q2,123346000000
2019,Q3,134973000000
2019,FY,162819000000
2020,Q1,163231000000
2020,Q2,143753000000
2020,Q3,140065000000
2020,FY,143713000000
2021,Q1,154106000000
2021,Q2,121465000000
2021,Q3,114423000000
2021,FY,134836000000
2022,Q1,153154000000
2010,Q2,32336000000
2010,Q3,36033000000
2010,FY,41678000000
2011,Q1,43927000000
2011,Q2,46997000000
2011,Q3,46898000000
2011,FY,44988000000
2012,Q1,54771000000
2012,Q2,50712000000
2012,Q3,51943000000
2012,FY,57653000000
2013,Q1,72348000000
2013,Q2,63337000000
2013,Q3,68219000000
2013,FY,73286000000
2014,Q1,80347000000
2014,Q2,70541000000
2014,Q3,67949000000
2014,FY,68531000000
2015,Q1,83403000000
2015,Q2,67891000000
2015,Q3,70953000000
2015,FY,89378000000
2016,Q1,76219000000
2016,Q2,87592000000
