Year,Quarter,EarningsPerShareDiluted
2017,Q3,7.14
2017,FY,9.21
2018,Q1,3.89
2018,Q2,6.63
2018,Q3,8.99
2018,FY,11.91
2019,Q1,4.18
2019,Q2,6.66
2019,Q3,8.86
2019,FY,11.89
2020,Q1,4.99
2020,Q2,7.56
2020,Q3,10.16
2020,FY,3.28
2021,Q1,1.68
2021,Q2,3.08
2021,Q3,4.38,2021,Q3,4.38
2021,FY,5.61,2021,FY,5.61
2022,Q1,2.1,2022,Q1,2.1
2010,Q2,7.0
2010,Q3,10.51
2010,FY,15.15
2011,Q1,6.43
2011,Q2,12.83
2011,Q3,20.63
2011,FY,27.68
2012,Q1,13.87
2012,Q2,26.17
2012,Q3,35.48
2012,FY,44.15
2013,Q1,13.81
2013,Q2,23.9
2013,Q3,31.44
2013,FY,39.75
2014,Q1,14.5
2014,Q2,26.16
2014,Q3,5.03
2014,FY,6.45
2015,Q1,3.06
2015,Q2,5.39
2015,Q3,7.25
2015,FY,9.22
2016,Q1,3.28
2016,Q2,5.19
