Year,Quarter,Liabilities
2017,Q3,212748000000
2017,FY,241272000000
2018,Q1,266595000000
2018,Q2,240624000000
2018,Q3,234248000000
2018,FY,258578000000
2019,Q1,255827000000
2019,Q2,236138000000
2019,Q3,225783000000
2019,FY,248028000000
2020,Q1,251087000000
2020,Q2,241975000000
2020,Q3,245062000000
2020,FY,258549000000
2021,Q1,287830000000
2021,Q2,267980000000
2021,Q3,265560000000
2021,FY,287912000000
2022,Q1,309259000000
2010,Q2,17709000000
2010,Q3,21614000000
2010,FY,27392000000
2011,Q1,32076000000
2011,Q2,33427000000
2011,Q3,37415000000
2011,FY,39756000000
2012,Q1,48627000000
2012,Q2,48436000000
2012,Q3,51150000000
2012,FY,57854000000
2013,Q1,68742000000
2013,Q2,59253000000
2013,Q3,76502000000
2013,FY,83451000000
2014,Q1,95500000000
2014,Q2,85810000000
2014,Q3,101580000000
2014,FY,120292000000
2015,Q1,138566000000
2015,Q2,132188000000
2015,Q3,147474000000
2015,FY,171124000000
2016,Q1,165017000000
2016,Q2,174820000000
